ID	Length
EPrPING00000000001	73
EPrPING00000000002	68
EPrPING00000000003	104
EPrPING00000000004	73
EPrPING00000000005	73
EPrPING00000000006	73
EPrPING00000000007	72
EPrPING00000000008	70
EPrPING00000000009	82
EPrPING00000000010	72
EPrPING00000000011	73
EPrPING00000000012	72
EPrPING00000000013	117
EPrPING00000000014	73
EPrPING00000000015	104
EPrPING00000000016	72
EPrPING00000000017	73
EPrPING00000000018	73
EPrPING00000000019	73
EPrPING00000000020	68
EPrPING00000000021	73
EPrPING00000000022	82
EPrPING00000000023	80
EPrPING00000000024	72
EPrPING00000000025	73
EPrPING00000000026	72
EPrPING00000000027	72
EPrPING00000000028	73
EPrPING00000000029	73
EPrPING00000000030	82
EPrPING00000000031	87
EPrPING00000000032	73
EPrPING00000000033	73
EPrPING00000000034	72
EPrPING00000000035	74
EPrPING00000000036	72
EPrPING00000000037	73
EPrPING00000000038	68
EPrPING00000000039	72
EPrPING00000000040	72
EPrPING00000000041	72
EPrPING00000000042	69
EPrPING00000000043	72
EPrPING00000000044	117
EPrPING00000000045	74
EPrPING00000000046	72
EPrPING00000000047	72
EPrPING00000000048	73
EPrPING00000000049	72
EPrPING00000000050	73
EPrPING00000000051	81
EPrPING00000000052	72
EPrPING00000000053	72
EPrPING00000000054	72
EPrPING00000000055	72
EPrPING00000000056	72
EPrPING00000000057	73
EPrPING00000000058	73
EPrPING00000000059	73
EPrPING00000000060	74
EPrPING00000000061	72
EPrPING00000000062	72
EPrPING00000000063	72
EPrPING00000000064	69
EPrPING00000000065	72
EPrPING00000000066	86
EPrPING00000000067	72
EPrPING00000000068	72
EPrPING00000000069	72
EPrPING00000000070	73
EPrPING00000000071	86
EPrPING00000000072	73
EPrPING00000000073	73
EPrPING00000000074	73
EPrPING00000000075	73
EPrPING00000000076	72
EPrPING00000000077	72
EPrPING00000000078	72
EPrPING00000000079	72
EPrPING00000000080	72
EPrPING00000000081	81
EPrPING00000000082	72
EPrPING00000000083	72
EPrPING00000000084	72
EPrPING00000000085	73
EPrPING00000000086	73
EPrPING00000000087	72
EPrPING00000000088	73
EPrPING00000000089	68
EPrPING00000000090	72
EPrPING00000000091	72
EPrPING00000000092	83
EPrPING00000000093	81
EPrPING00000000094	72
EPrPING00000000095	73
EPrPING00000000096	71
EPrPING00000000097	72
EPrPING00000000098	72
EPrPING00000000099	4148
EPrPING00000000100	69
EPrPING00000000101	117
EPrPING00000000102	72
EPrPING00000000103	72
EPrPING00000000104	72
EPrPING00000000105	79
EPrPING00000000106	72
EPrPING00000000107	104
EPrPING00000000108	72
EPrPING00000000109	72
EPrPING00000000110	73
EPrPING00000000111	73
EPrPING00000000112	72
EPrPING00000000113	72
EPrPING00000000114	73
EPrPING00000000115	72
EPrPING00000000116	74
EPrPING00000000117	72
EPrPING00000000118	72
EPrPING00000000119	72
EPrPING00000000120	74
EPrPING00000000121	68
EPrPING00000000122	80
EPrPING00000000123	76
EPrPING00000000124	73
EPrPING00000000125	72
EPrPING00000000126	72
EPrPING00000000127	73
EPrPING00000000128	73
EPrPING00000000129	73
EPrPING00000000130	68
EPrPING00000000131	172
EPrPING00000000132	72
EPrPING00000000133	81
EPrPING00000000134	73
EPrPING00000000135	73
EPrPING00000000136	81
EPrPING00000000137	73
EPrPING00000000138	185
EPrPING00000000139	73
EPrPING00000000140	86
EPrPING00000000141	72
EPrPING00000000142	81
EPrPING00000000143	81
EPrPING00000000144	73
EPrPING00000000145	74
EPrPING00000000146	78
EPrPING00000000147	72
EPrPING00000000148	73
EPrPING00000000149	72
EPrPING00000000150	74
EPrPING00000000151	72
EPrPING00000000152	72
EPrPING00000000153	73
EPrPING00000000154	72
EPrPING00000000155	72
EPrPING00000000156	68
EPrPING00000000157	4019
EPrPING00000000158	72
EPrPING00000000159	72
EPrPING00000000160	73
EPrPING00000000161	105
EPrPING00000000162	72
EPrPING00000000163	80
EPrPING00000000164	72
EPrPING00000000165	72
EPrPING00000000166	73
EPrPING00000000167	72
EPrPING00000000168	73
EPrPING00000000169	68
EPrPING00000000170	73
EPrPING00000000171	72
EPrPING00000000172	70
EPrPING00000000173	72
EPrPING00000000174	70
EPrPING00000000175	73
EPrPING00000000176	86
EPrPING00000000177	73
EPrPING00000000178	71
EPrPING00000000179	75
EPrPING00000000180	73
EPrPING00000000181	72
EPrPING00000000182	75
EPrPING00000000183	73
EPrPING00000000184	81
EPrPING00000000185	72
EPrPING00000000186	104
EPrPING00000000187	81
EPrPING00000000188	72
EPrPING00000000189	72
EPrPING00000000190	72
EPrPING00000000191	72
EPrPING00000000192	82
EPrPING00000000193	72
EPrPING00000000194	72
EPrPING00000000195	73
EPrPING00000000196	73
EPrPING00000000197	73
EPrPING00000000198	73
EPrPING00000000199	72
EPrPING00000000200	73
EPrPING00000000201	73
EPrPING00000000202	73
EPrPING00000000203	72
EPrPING00000000204	73
EPrPING00000000205	82
EPrPING00000000206	72
EPrPING00000000207	72
EPrPING00000000208	73
EPrPING00000000209	72
EPrPING00000000210	73
EPrPING00000000211	75
EPrPING00000000212	73
EPrPING00000000213	86
EPrPING00000000214	73
EPrPING00000000215	74
EPrPING00000000216	72
EPrPING00000000217	72
EPrPING00000000218	73
EPrPING00000000219	72
EPrPING00000000220	72
EPrPING00000000221	73
EPrPING00000000222	76
EPrPING00000000223	114
EPrPING00000000224	68
EPrPING00000000225	72
EPrPING00000000226	68
EPrPING00000000227	72
EPrPING00000000228	73
EPrPING00000000229	117
EPrPING00000000230	74
EPrPING00000000231	73
EPrPING00000000232	71
EPrPING00000000233	73
EPrPING00000000234	72
EPrPING00000000235	81
EPrPING00000000236	72
EPrPING00000000237	73
EPrPING00000000238	73
EPrPING00000000239	72
EPrPING00000000240	117
EPrPING00000000241	81
EPrPING00000000242	72
EPrPING00000000243	73
EPrPING00000000244	72
EPrPING00000000245	72
EPrPING00000000246	105
EPrPING00000000247	105
EPrPING00000000248	86
EPrPING00000000249	72
EPrPING00000000250	70
EPrPING00000000251	72
EPrPING00000000252	72
EPrPING00000000253	75
EPrPING00000000254	68
EPrPING00000000255	82
EPrPING00000000256	71
EPrPING00000000257	72
EPrPING00000000258	73
EPrPING00000000259	72
EPrPING00000000260	72
EPrPING00000000261	86
EPrPING00000000262	82
EPrPING00000000263	87
EPrPING00000000264	73
EPrPING00000000265	71
EPrPING00000000266	72
EPrPING00000000267	72
EPrPING00000000268	72
EPrPING00000000269	72
EPrPING00000000270	72
EPrPING00000000271	72
EPrPING00000000272	72
EPrPING00000000273	72
EPrPING00000000274	69
EPrPING00000000275	72
EPrPING00000000276	72
EPrPING00000000277	69
EPrPING00000000278	72
EPrPING00000000279	72
EPrPING00000000280	73
EPrPING00000000281	73
EPrPING00000000282	72
EPrPING00000000283	72
EPrPING00000000284	78
EPrPING00000000285	74
EPrPING00000000286	73
EPrPING00000000287	82
EPrPING00000000288	72
EPrPING00000000289	105
EPrPING00000000290	104
EPrPING00000000291	73
EPrPING00000000292	72
EPrPING00000000293	73
EPrPING00000000294	86
EPrPING00000000295	72
EPrPING00000000296	72
EPrPING00000000297	72
EPrPING00000000298	72
EPrPING00000000299	80
EPrPING00000000300	72
EPrPING00000000301	72
EPrPING00000000302	73
EPrPING00000000303	72
EPrPING00000000304	72
EPrPING00000000305	72
EPrPING00000000306	73
EPrPING00000000307	72
EPrPING00000000308	105
EPrPING00000000309	72
EPrPING00000000310	73
EPrPING00000000311	72
EPrPING00000000312	72
EPrPING00000000313	71
EPrPING00000000314	72
EPrPING00000000315	73
EPrPING00000000316	72
EPrPING00000000317	72
EPrPING00000000318	72
EPrPING00000000319	72
EPrPING00000000320	69
EPrPING00000000321	72
EPrPING00000000322	72
EPrPING00000000323	72
EPrPING00000000324	4376
EPrPING00000000325	72
EPrPING00000000326	73
EPrPING00000000327	105
EPrPING00000000328	72
EPrPING00000000329	73
EPrPING00000000330	1826
EPrPING00000000331	72
EPrPING00000000332	73
EPrPING00000000333	84
EPrPING00000000334	68
EPrPING00000000335	72
EPrPING00000000336	105
EPrPING00000000337	73
EPrPING00000000338	71
EPrPING00000000339	73
EPrPING00000000340	73
EPrPING00000000341	73
EPrPING00000000342	86
EPrPING00000000343	73
EPrPING00000000344	72
EPrPING00000000345	72
EPrPING00000000346	105
EPrPING00000000347	68
EPrPING00000000348	73
EPrPING00000000349	73
EPrPING00000000350	72
EPrPING00000000351	72
EPrPING00000000352	72
EPrPING00000000353	72
EPrPING00000000354	73
EPrPING00000000355	72
EPrPING00000000356	82
EPrPING00000000357	72
EPrPING00000000358	72
EPrPING00000000359	73
EPrPING00000000360	72
EPrPING00000000361	72
EPrPING00000000362	72
EPrPING00000000363	72
EPrPING00000000364	72
EPrPING00000000365	72
EPrPING00000000366	72
EPrPING00000000367	80
EPrPING00000000368	73
EPrPING00000000369	72
EPrPING00000000370	70
EPrPING00000000371	73
EPrPING00000000372	72
EPrPING00000000373	81
EPrPING00000000374	72
EPrPING00000000375	68
EPrPING00000000376	72
EPrPING00000000377	72
EPrPING00000000378	104
EPrPING00000000379	68
EPrPING00000000380	72
EPrPING00000000381	72
EPrPING00000000382	82
EPrPING00000000383	72
EPrPING00000000384	73
EPrPING00000000385	72
EPrPING00000000386	73
EPrPING00000000387	72
EPrPING00000000388	73
EPrPING00000000389	72
EPrPING00000000390	72
EPrPING00000000391	72
EPrPING00000000392	73
EPrPING00000000393	86
EPrPING00000000394	74
EPrPING00000000395	82
EPrPING00000000396	68
EPrPING00000000397	72
EPrPING00000000398	69
EPrPING00000000399	73
EPrPING00000000400	72
EPrPING00000000401	117
EPrPING00000000402	73
EPrPING00000000403	74
EPrPING00000000404	72
EPrPING00000000405	73
EPrPING00000000406	72
EPrPING00000000407	72
EPrPING00000000408	72
EPrPING00000000409	4140
EPrPING00000000410	72
EPrPING00000000411	72
EPrPING00000000412	72
EPrPING00000000413	72
EPrPING00000000414	72
EPrPING00000000415	74
EPrPING00000000416	72
EPrPING00000000417	73
EPrPING00000000418	105
EPrPING00000000419	72
EPrPING00000000420	72
EPrPING00000000421	72
EPrPING00000000422	82
EPrPING00000000423	72
EPrPING00000000424	73
EPrPING00000000425	72
EPrPING00000000426	72
EPrPING00000000427	72
EPrPING00000000428	105
EPrPING00000000429	114
EPrPING00000000430	72
EPrPING00000000431	72
EPrPING00000000432	82
EPrPING00000000433	72
EPrPING00000000434	72
EPrPING00000000435	80
EPrPING00000000436	73
EPrPING00000000437	72
EPrPING00000000438	69
EPrPING00000000439	73
EPrPING00000000440	72
EPrPING00000000441	72
EPrPING00000000442	77
EPrPING00000000443	205
EPrPING00000000444	72
EPrPING00000000445	73
EPrPING00000000446	73
EPrPING00000000447	117
EPrPING00000000448	68
EPrPING00000000449	72
EPrPING00000000450	72
EPrPING00000000451	73
EPrPING00000000452	4139
EPrPING00000000453	81
EPrPING00000000454	72
EPrPING00000000455	72
EPrPING00000000456	73
EPrPING00000000457	72
EPrPING00000000458	72
EPrPING00000000459	72
EPrPING00000000460	72
EPrPING00000000461	73
EPrPING00000000462	72
EPrPING00000000463	73
EPrPING00000000464	71
EPrPING00000000465	73
EPrPING00000000466	82
EPrPING00000000467	68
EPrPING00000000468	72
EPrPING00000000469	81
EPrPING00000000470	72
EPrPING00000000471	72
EPrPING00000000472	72
EPrPING00000000473	72
EPrPING00000000474	72
EPrPING00000000475	73
EPrPING00000000476	72
EPrPING00000000477	73
EPrPING00000000478	72
EPrPING00000000479	73
EPrPING00000000480	73
EPrPING00000000481	86
EPrPING00000000482	73
EPrPING00000000483	72
EPrPING00000000484	82
EPrPING00000000485	69
EPrPING00000000486	72
EPrPING00000000487	72
EPrPING00000000488	73
EPrPING00000000489	73
EPrPING00000000490	103
EPrPING00000000491	73
EPrPING00000000492	72
EPrPING00000000493	72
EPrPING00000000494	82
EPrPING00000000495	73
EPrPING00000000496	72
EPrPING00000000497	205
EPrPING00000000498	73
EPrPING00000000499	70
EPrPING00000000500	72
EPrPING00000000501	138
EPrPING00000000502	72
EPrPING00000000503	73
EPrPING00000000504	68
EPrPING00000000505	73
EPrPING00000000506	73
EPrPING00000000507	72
EPrPING00000000508	73
EPrPING00000000509	73
EPrPING00000000510	72
EPrPING00000000511	86
EPrPING00000000512	72
EPrPING00000000513	72
EPrPING00000000514	82
EPrPING00000000515	72
EPrPING00000000516	72
EPrPING00000000517	4090
EPrPING00000000518	72
EPrPING00000000519	71
EPrPING00000000520	72
EPrPING00000000521	1827
EPrPING00000000522	72
EPrPING00000000523	72
EPrPING00000000524	81
EPrPING00000000525	72
EPrPING00000000526	73
EPrPING00000000527	72
EPrPING00000000528	105
EPrPING00000000529	80
EPrPING00000000530	68
EPrPING00000000531	78
EPrPING00000000532	1892
EPrPING00000000533	68
EPrPING00000000534	73
EPrPING00000000535	81
EPrPING00000000536	72
EPrPING00000000537	73
EPrPING00000000538	4141
EPrPING00000000539	73
EPrPING00000000540	73
EPrPING00000000541	72
EPrPING00000000542	71
EPrPING00000000543	73
EPrPING00000000544	73
EPrPING00000000545	72
EPrPING00000000546	72
EPrPING00000000547	74
EPrPING00000000548	73
EPrPING00000000549	68
EPrPING00000000550	72
EPrPING00000000551	73
EPrPING00000000552	74
EPrPING00000000553	73
EPrPING00000000554	72
EPrPING00000000555	71
EPrPING00000000556	73
EPrPING00000000557	72
EPrPING00000000558	86
EPrPING00000000559	73
EPrPING00000000560	73
EPrPING00000000561	72
EPrPING00000000562	82
EPrPING00000000563	72
EPrPING00000000564	1827
EPrPING00000000565	72
EPrPING00000000566	73
EPrPING00000000567	1827
EPrPING00000000568	72
EPrPING00000000569	72
EPrPING00000000570	73
EPrPING00000000571	82
EPrPING00000000572	72
EPrPING00000000573	73
EPrPING00000000574	76
EPrPING00000000575	302
EPrPING00000000576	72
EPrPING00000000577	72
EPrPING00000000578	72
EPrPING00000000579	88
EPrPING00000000580	72
EPrPING00000000581	73
EPrPING00000000582	82
EPrPING00000000583	73
EPrPING00000000584	72
EPrPING00000000585	105
EPrPING00000000586	72
EPrPING00000000587	72
EPrPING00000000588	71
EPrPING00000000589	81
EPrPING00000000590	71
EPrPING00000000591	82
EPrPING00000000592	72
EPrPING00000000593	73
EPrPING00000000594	73
EPrPING00000000595	73
EPrPING00000000596	72
EPrPING00000000597	2498
EPrPING00000000598	72
EPrPING00000000599	70
EPrPING00000000600	73
EPrPING00000000601	72
EPrPING00000000602	73
EPrPING00000000603	72
EPrPING00000000604	72
EPrPING00000000605	183
EPrPING00000000606	73
EPrPING00000000607	72
EPrPING00000000608	72
EPrPING00000000609	70
EPrPING00000000610	72
EPrPING00000000611	73
EPrPING00000000612	72
EPrPING00000000613	64
EPrPING00000000614	78
EPrPING00000000615	73
EPrPING00000000616	72
EPrPING00000000617	72
EPrPING00000000618	72
EPrPING00000000619	72
EPrPING00000000620	73
EPrPING00000000621	72
EPrPING00000000622	73
EPrPING00000000623	72
EPrPING00000000624	82
EPrPING00000000625	80
EPrPING00000000626	72
EPrPING00000000627	73
EPrPING00000000628	72
EPrPING00000000629	80
EPrPING00000000630	72
EPrPING00000000631	70
EPrPING00000000632	73
EPrPING00000000633	117
EPrPING00000000634	86
EPrPING00000000635	73
EPrPING00000000636	72
EPrPING00000000637	73
EPrPING00000000638	2943
EPrPING00000000639	72
EPrPING00000000640	86
EPrPING00000000641	72
EPrPING00000000642	71
EPrPING00000000643	74
EPrPING00000000644	86
EPrPING00000000645	73
EPrPING00000000646	64
EPrPING00000000647	72
EPrPING00000000648	72
EPrPING00000000649	105
EPrPING00000000650	89
EPrPING00000000651	72
EPrPING00000000652	81
EPrPING00000000653	75
EPrPING00000000654	82
EPrPING00000000655	114
EPrPING00000000656	72
EPrPING00000000657	73
EPrPING00000000658	73
EPrPING00000000659	72
EPrPING00000000660	71
EPrPING00000000661	81
EPrPING00000000662	81
EPrPING00000000663	71
EPrPING00000000664	72
EPrPING00000000665	74
EPrPING00000000666	73
EPrPING00000000667	82
EPrPING00000000668	73
EPrPING00000000669	68
EPrPING00000000670	73
EPrPING00000000671	72
EPrPING00000000672	72
EPrPING00000000673	73
EPrPING00000000674	72
EPrPING00000000675	72
EPrPING00000000676	73
EPrPING00000000677	72
EPrPING00000000678	72
EPrPING00000000679	72
EPrPING00000000680	81
EPrPING00000000681	74
EPrPING00000000682	72
EPrPING00000000683	72
EPrPING00000000684	81
EPrPING00000000685	68
EPrPING00000000686	72
EPrPING00000000687	73
EPrPING00000000688	72
EPrPING00000000689	72
EPrPING00000000690	74
EPrPING00000000691	72
EPrPING00000000692	72
EPrPING00000000693	73
EPrPING00000000694	114
EPrPING00000000695	72
EPrPING00000000696	1467
EPrPING00000000697	72
EPrPING00000000698	72
EPrPING00000000699	73
EPrPING00000000700	71
EPrPING00000000701	172
EPrPING00000000702	73
EPrPING00000000703	70
EPrPING00000000704	72
EPrPING00000000705	72
EPrPING00000000706	72
EPrPING00000000707	68
EPrPING00000000708	72
EPrPING00000000709	78
EPrPING00000000710	73
EPrPING00000000711	73
EPrPING00000000712	105
EPrPING00000000713	81
EPrPING00000000714	72
EPrPING00000000715	72
EPrPING00000000716	73
EPrPING00000000717	72
EPrPING00000000718	73
